"YLR044C"	"YHR174W"	"YPR035W"
"1_YPDRapa"	24	33	7
"2_YPDRapa"	37	69	19
"3_YPDRapa"	25	40	12
"4_YPDRapa"	18	31	2
"5_YPDRapa"	14	15	3
"6_YPDRapa"	66	50	13
"7_YPDRapa"	43	37	8
"8_YPDRapa"	23	33	5
"9_YPDRapa"	23	27	4
"10_YPDRapa"	63	69	33
"11_YPDRapa"	13	24	1
"12_YPDRapa"	26	19	5
"13_YPDRapa"	31	17	2
"14_YPDRapa"	13	8	3
"15_YPDRapa"	26	37	11
"16_YPDRapa"	18	31	2
"17_YPDRapa"	38	68	21
"18_YPDRapa"	24	36	6
"19_YPDRapa"	38	32	3
"20_YPDRapa"	68	48	7
"21_YPDRapa"	43	33	9
"22_YPDRapa"	20	34	7
"23_YPDRapa"	10	22	3
"24_YPDRapa"	33	38	6
"25_YPDRapa"	19	13	3
"26_YPDRapa"	27	28	3
"27_YPDRapa"	46	41	1
"28_YPDRapa"	32	24	4
"29_YPDRapa"	9	14	1
"30_YPDRapa"	71	81	19
"31_YPDRapa"	36	43	8
"32_YPDRapa"	36	40	11
"33_YPDRapa"	60	60	2
"34_YPDRapa"	43	50	12
"35_YPDRapa"	30	13	4
"36_YPDRapa"	20	33	4
"37_YPDRapa"	18	37	5
"38_YPDRapa"	13	12	0
"39_YPDRapa"	41	59	19
"40_YPDRapa"	16	21	5
"41_YPDRapa"	12	32	5
"42_YPDRapa"	23	43	13
"43_YPDRapa"	20	24	5
"44_YPDRapa"	26	26	5
"45_YPDRapa"	72	53	33
"46_YPDRapa"	30	31	6
"47_YPDRapa"	52	32	3
"48_YPDRapa"	31	39	6
"49_YPDRapa"	17	32	8
"50_YPDRapa"	18	15	3
"51_YPDRapa"	17	28	8
"52_YPDRapa"	21	25	5
"53_YPDRapa"	9	21	6
"54_YPDRapa"	22	14	3
"55_YPDRapa"	62	43	15
"56_YPDRapa"	29	29	5
"57_YPDRapa"	26	15	1
"58_YPDRapa"	10	18	3
"59_YPDRapa"	24	30	1
"60_YPDRapa"	44	42	8
"61_YPDRapa"	22	24	4
"62_YPDRapa"	9	23	0
"63_YPDRapa"	21	19	4
"64_YPDRapa"	111	117	8
"65_YPDRapa"	152	137	20
"66_YPDRapa"	46	47	12
"67_YPDRapa"	41	43	9
"68_YPDRapa"	41	51	8
"69_YPDRapa"	51	41	12
"70_YPDRapa"	68	70	9
"71_YPDRapa"	60	60	8
"72_YPDRapa"	27	32	7
"73_YPDRapa"	36	21	6
"74_YPDRapa"	33	30	3
"75_YPDRapa"	32	25	5
"76_YPDRapa"	20	64	14
"77_YPDRapa"	22	14	1
"78_YPDRapa"	35	70	14
"79_YPDRapa"	7	5	2
"80_YPDRapa"	12	19	7
"81_YPDRapa"	56	58	13
"82_YPDRapa"	34	31	3
"83_YPDRapa"	42	53	9
"84_YPDRapa"	46	27	5
"85_YPDRapa"	25	27	1
"86_YPDRapa"	28	30	2
"87_YPDRapa"	23	22	2
"88_YPDRapa"	37	33	6
"89_YPDRapa"	39	45	4
"90_YPDRapa"	20	22	7
"91_YPDRapa"	59	69	24
"92_YPDRapa"	8	10	9
"93_YPDRapa"	30	29	4
"94_YPDRapa"	30	38	17
"95_YPDRapa"	23	35	6
"96_YPDRapa"	9	19	4
"97_YPDRapa"	11	19	0
"98_YPDRapa"	54	50	14
"99_YPDRapa"	17	20	2
"100_YPDRapa"	23	32	6
