"YLR044C"	"YHR174W"	"YPR035W"
"1_Glutamine"	38	37	2
"2_Glutamine"	83	84	1
"3_Glutamine"	14	5	0
"4_Glutamine"	30	35	0
"5_Glutamine"	183	135	9
"6_Glutamine"	70	69	3
"7_Glutamine"	28	10	1
"8_Glutamine"	62	41	1
"9_Glutamine"	27	11	0
"10_Glutamine"	15	9	0
"11_Glutamine"	89	43	12
"12_Glutamine"	53	33	1
"13_Glutamine"	30	6	1
"14_Glutamine"	10	2	0
"15_Glutamine"	31	34	11
"16_Glutamine"	8	1	0
"17_Glutamine"	21	28	2
"18_Glutamine"	39	28	6
"19_Glutamine"	34	48	6
"20_Glutamine"	15	7	0
"21_Glutamine"	77	114	0
"22_Glutamine"	215	151	8
"23_Glutamine"	25	12	1
"24_Glutamine"	38	42	2
"25_Glutamine"	17	15	1
"26_Glutamine"	79	6	1
"27_Glutamine"	122	122	6
"28_Glutamine"	15	12	0
"29_Glutamine"	128	174	13
"30_Glutamine"	79	100	5
"31_Glutamine"	137	152	23
"32_Glutamine"	44	31	0
"33_Glutamine"	36	29	6
"34_Glutamine"	207	134	4
"35_Glutamine"	27	19	1
"36_Glutamine"	34	16	1
"37_Glutamine"	156	118	5
"38_Glutamine"	131	50	0
"39_Glutamine"	36	31	1
"40_Glutamine"	167	78	15
"41_Glutamine"	29	19	4
"42_Glutamine"	34	13	2
"43_Glutamine"	75	24	3
"44_Glutamine"	40	40	2
"45_Glutamine"	127	58	7
"46_Glutamine"	4	1	0
"47_Glutamine"	40	19	0
"48_Glutamine"	9	14	2
"49_Glutamine"	34	15	0
"50_Glutamine"	47	49	2
"51_Glutamine"	264	239	9
"52_Glutamine"	49	32	8
"53_Glutamine"	8	6	1
"54_Glutamine"	342	329	16
"55_Glutamine"	23	9	0
"56_Glutamine"	304	113	1
"57_Glutamine"	18	14	0
"58_Glutamine"	11	4	1
"59_Glutamine"	41	12	2
"60_Glutamine"	25	17	0
"61_Glutamine"	26	16	1
"62_Glutamine"	24	30	0
"63_Glutamine"	27	23	1
"64_Glutamine"	116	57	4
"65_Glutamine"	8	6	0
"66_Glutamine"	47	25	3
"67_Glutamine"	78	98	20
"68_Glutamine"	32	18	1
"69_Glutamine"	68	40	2
"70_Glutamine"	5	7	0
"71_Glutamine"	51	33	0
"72_Glutamine"	58	26	1
"73_Glutamine"	6	4	0
"74_Glutamine"	17	20	1
"75_Glutamine"	17	2	0
"76_Glutamine"	55	44	5
"77_Glutamine"	80	25	5
"78_Glutamine"	22	11	0
"79_Glutamine"	29	18	2
"80_Glutamine"	365	269	5
"81_Glutamine"	26	13	0
"82_Glutamine"	90	73	11
"83_Glutamine"	88	59	2
"84_Glutamine"	93	38	2
"85_Glutamine"	17	16	2
"86_Glutamine"	22	5	0
"87_Glutamine"	35	19	1
"88_Glutamine"	68	64	6
"89_Glutamine"	63	43	7
"90_Glutamine"	90	73	9
"91_Glutamine"	68	47	0
"92_Glutamine"	127	65	7
"93_Glutamine"	58	47	15
"94_Glutamine"	150	32	3
"95_Glutamine"	37	22	1
"96_Glutamine"	18	10	1
"97_Glutamine"	22	22	1
"98_Glutamine"	74	45	4
"99_Glutamine"	132	120	2
"100_Glutamine"	19	11	1
"101_Glutamine"	55	59	10
"102_Glutamine"	32	19	4
"103_Glutamine"	25	10	0
"104_Glutamine"	92	89	2
"105_Glutamine"	89	88	3
"106_Glutamine"	7	0	3
"107_Glutamine"	59	39	0
"108_Glutamine"	15	5	0
"109_Glutamine"	18	15	0
"110_Glutamine"	27	20	1
"111_Glutamine"	98	71	5
"112_Glutamine"	17	19	1
"113_Glutamine"	28	14	0
"114_Glutamine"	97	32	1
"115_Glutamine"	21	14	2
"116_Glutamine"	93	47	7
"117_Glutamine"	4	7	0
"118_Glutamine"	68	30	4
"119_Glutamine"	85	46	14
"120_Glutamine"	121	66	6
"121_Glutamine"	61	2	3
"122_Glutamine"	37	35	3
"123_Glutamine"	29	24	1
"124_Glutamine"	22	16	0
"125_Glutamine"	25	28	2
"126_Glutamine"	9	11	0
"127_Glutamine"	93	27	11
"128_Glutamine"	30	29	4
"129_Glutamine"	147	72	20
"130_Glutamine"	29	16	1
"131_Glutamine"	39	22	2
"132_Glutamine"	183	166	5
"133_Glutamine"	65	58	9
"134_Glutamine"	35	35	1
"135_Glutamine"	80	98	3
"136_Glutamine"	37	54	0
"137_Glutamine"	17	22	3
"138_Glutamine"	58	16	0
"139_Glutamine"	31	15	2
"140_Glutamine"	31	24	3
"141_Glutamine"	18	14	1
"142_Glutamine"	130	45	1
"143_Glutamine"	22	10	0
"144_Glutamine"	8	4	0
"145_Glutamine"	31	37	1
"146_Glutamine"	23	14	2
"147_Glutamine"	46	45	3
"148_Glutamine"	71	37	13
"149_Glutamine"	54	45	1
"150_Glutamine"	18	21	1
"151_Glutamine"	40	26	1
"152_Glutamine"	21	14	6
"153_Glutamine"	43	27	2
"154_Glutamine"	19	19	2
"155_Glutamine"	48	36	4
"156_Glutamine"	14	6	0
"157_Glutamine"	21	19	1
"158_Glutamine"	17	30	1
"159_Glutamine"	10	1	1
"160_Glutamine"	14	13	1
"161_Glutamine"	19	11	0
"162_Glutamine"	170	98	0
"163_Glutamine"	15	26	1
"164_Glutamine"	96	120	24
"165_Glutamine"	37	17	2
"166_Glutamine"	50	40	0
"167_Glutamine"	119	53	0
"168_Glutamine"	30	39	2
"169_Glutamine"	29	22	0
"170_Glutamine"	37	18	2
"171_Glutamine"	76	64	0
"172_Glutamine"	43	29	1
"173_Glutamine"	15	10	2
"174_Glutamine"	81	77	11
"175_Glutamine"	23	21	0
"176_Glutamine"	89	51	8
"177_Glutamine"	10	6	1
"178_Glutamine"	12	7	1
"179_Glutamine"	16	7	3
"180_Glutamine"	49	30	0
"181_Glutamine"	23	12	2
"182_Glutamine"	4	5	0
"183_Glutamine"	148	157	17
"184_Glutamine"	88	61	6
"185_Glutamine"	148	114	7
"186_Glutamine"	15	15	1
"187_Glutamine"	40	63	3
"188_Glutamine"	113	25	1
"189_Glutamine"	54	14	1
"190_Glutamine"	19	19	0
"191_Glutamine"	49	36	2
"192_Glutamine"	23	16	0
"193_Glutamine"	39	24	1
"194_Glutamine"	55	40	4
"195_Glutamine"	38	17	1
"196_Glutamine"	11	6	1
"197_Glutamine"	17	17	0
"198_Glutamine"	49	58	7
"199_Glutamine"	60	58	3
"200_Glutamine"	31	35	1
"201_Glutamine"	56	74	1
"202_Glutamine"	7	11	1
"203_Glutamine"	76	59	1
"204_Glutamine"	24	7	0
"205_Glutamine"	24	9	1
"206_Glutamine"	6	3	2
"207_Glutamine"	16	13	1
"208_Glutamine"	55	11	0
"209_Glutamine"	61	62	6
"210_Glutamine"	36	21	0
"211_Glutamine"	41	28	4
"212_Glutamine"	9	5	0
"213_Glutamine"	34	9	0
"214_Glutamine"	45	50	1
"215_Glutamine"	16	19	2
"216_Glutamine"	187	87	8
"217_Glutamine"	26	12	1
"218_Glutamine"	87	24	2
"219_Glutamine"	46	35	0
"220_Glutamine"	45	32	2
"221_Glutamine"	18	24	1
"222_Glutamine"	71	69	18
"223_Glutamine"	35	32	2
"224_Glutamine"	56	44	9
"225_Glutamine"	19	9	0
"226_Glutamine"	226	121	9
"227_Glutamine"	142	126	22
"228_Glutamine"	21	8	1
"229_Glutamine"	51	29	3
"230_Glutamine"	53	27	5
"231_Glutamine"	99	87	8
"232_Glutamine"	54	59	8
"233_Glutamine"	21	10	0
"234_Glutamine"	56	33	1
"235_Glutamine"	33	17	0
"236_Glutamine"	106	76	1
"237_Glutamine"	17	3	1
"238_Glutamine"	20	3	0
"239_Glutamine"	48	33	3
"240_Glutamine"	7	2	0
"241_Glutamine"	7	3	1
"242_Glutamine"	17	10	2
"243_Glutamine"	66	44	6
"244_Glutamine"	95	59	7
"245_Glutamine"	21	17	4
"246_Glutamine"	96	54	1
"247_Glutamine"	51	15	0
"248_Glutamine"	23	16	2
"249_Glutamine"	66	6	0
"250_Glutamine"	28	33	13
"251_Glutamine"	26	32	2
"252_Glutamine"	27	21	2
"253_Glutamine"	17	13	2
"254_Glutamine"	71	68	3
"255_Glutamine"	42	44	1
"256_Glutamine"	15	13	1
"257_Glutamine"	130	105	6
"258_Glutamine"	4	6	4
"259_Glutamine"	122	79	8
"260_Glutamine"	15	13	8
"261_Glutamine"	37	25	3
"262_Glutamine"	55	56	3
"263_Glutamine"	31	25	1
"264_Glutamine"	40	29	4
"265_Glutamine"	104	53	6
"266_Glutamine"	37	41	1
"267_Glutamine"	8	5	0
"268_Glutamine"	18	17	0
"269_Glutamine"	77	42	6
"270_Glutamine"	67	71	1
"271_Glutamine"	15	20	0
"272_Glutamine"	51	26	1
"273_Glutamine"	11	5	0
"274_Glutamine"	174	152	3
"275_Glutamine"	37	17	1
"276_Glutamine"	20	15	0
"277_Glutamine"	32	23	7
"278_Glutamine"	53	49	0
"279_Glutamine"	55	45	1
"280_Glutamine"	22	19	1
"281_Glutamine"	39	42	3
"282_Glutamine"	29	17	3
"283_Glutamine"	154	183	10
"284_Glutamine"	22	5	0
"285_Glutamine"	23	11	2
"286_Glutamine"	14	6	0
"287_Glutamine"	149	43	7
"288_Glutamine"	66	17	1
"289_Glutamine"	17	15	1
"290_Glutamine"	64	53	2
"291_Glutamine"	24	23	0
"292_Glutamine"	330	117	1
"293_Glutamine"	11	6	1
"294_Glutamine"	83	17	0
"295_Glutamine"	115	126	6
"296_Glutamine"	26	12	1
"297_Glutamine"	49	32	3
"298_Glutamine"	17	11	1
"299_Glutamine"	21	14	1
"300_Glutamine"	42	10	4
"301_Glutamine"	14	8	0
"302_Glutamine"	37	20	1
"303_Glutamine"	36	10	1
"304_Glutamine"	76	61	8
"305_Glutamine"	61	23	1
