gene.ids,NC_01,NC_02,PENET1hr_01,PENET1hr_02,PENET4hr_01,PENET4hr_02,PF144hr_01,PF144hr_02,TP104hr_01,TP104hr_02,MTCPP14hr_01,MTCPP14hr_02
ENSG00000000003,1922,1813,1770,2190,1517,2044,1869,2632,1696,1751,2179,1720
ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000000419,1851,1716,1202,1478,1091,1803,1654,2222,1388,1423,1830,1648
ENSG00000000457,280,235,121,136,126,233,177,221,141,157,222,165
ENSG00000000460,764,619,563,771,583,873,790,1126,732,762,882,749
ENSG00000000938,6,4,2,2,1,7,3,3,3,5,1,2
ENSG00000000971,2129,2112,594,752,422,1022,820,1050,778,769,907,926
ENSG00000001036,2922,2575,2811,3399,2686,3349,3256,4221,2839,3016,3450,2735
ENSG00000001084,2934,2676,1277,1678,2560,4338,3521,4671,3540,3627,4513,3828
ENSG00000001167,626,590,494,632,789,1175,1111,1457,1029,1033,1195,1039
ENSG00000001460,213,196,238,240,112,143,151,188,142,139,169,123
ENSG00000001461,1053,917,1035,1204,790,1002,867,1209,800,902,1024,921
ENSG00000001497,3760,3519,3813,4418,3460,4640,4228,5774,3831,4302,4605,3984
ENSG00000001561,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000001617,2310,1902,3081,3070,1993,2304,2492,3197,2019,2221,2266,1725
ENSG00000001626,5,10,5,7,1,5,4,2,3,1,1,6
ENSG00000001629,2742,2514,1670,2073,1487,2421,2160,2980,1950,1968,2405,2109
ENSG00000001630,131,136,156,176,129,223,221,260,179,203,212,178
ENSG00000001631,1097,1026,345,411,460,843,739,1004,706,656,838,743
ENSG00000002016,277,265,223,245,228,394,316,531,350,325,417,335
ENSG00000002079,7,3,8,3,2,3,4,9,3,3,3,8
ENSG00000002330,550,506,793,852,486,625,555,669,481,486,630,483
ENSG00000002549,1246,1106,1092,1486,1087,1467,1324,1915,1208,1264,1582,1302
ENSG00000002586,4438,4003,4705,5440,3227,4095,3838,4937,3260,3922,3914,3537
ENSG00000002587,32,30,31,32,27,37,44,65,33,41,35,36
ENSG00000002726,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000002745,7,8,3,7,9,17,7,11,12,14,9,13
ENSG00000002746,175,166,141,183,117,160,121,191,142,150,163,129
ENSG00000002822,846,742,1000,1133,679,823,689,979,661,732,797,716
ENSG00000002834,6454,5830,7502,8728,6072,7953,7356,9962,6585,7533,8106,6855
ENSG00000002919,648,675,614,783,571,731,742,936,634,652,764,659
ENSG00000002933,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000003056,3723,3490,3338,4202,3490,4703,4506,6003,3870,4265,4845,3930
ENSG00000003096,4428,4060,4182,5024,2945,4200,3860,5059,3186,3307,4164,3279
ENSG00000003137,158,177,152,141,56,78,124,153,96,82,88,97
ENSG00000003147,34,25,28,31,10,16,19,21,12,16,23,16
ENSG00000003249,358,274,453,438,177,213,180,268,170,184,182,158
ENSG00000003393,899,803,624,768,666,882,819,1234,801,752,945,768
ENSG00000003400,97,88,92,109,45,57,59,69,45,55,55,51
ENSG00000003402,1127,914,552,643,560,877,795,1115,666,813,781,702
ENSG00000003436,4715,4197,1596,1960,2258,4545,4176,5580,3370,3279,4324,4007
ENSG00000003509,566,492,317,394,332,573,492,698,475,452,557,512
ENSG00000003756,2435,2258,1519,1893,1553,2531,2081,2805,1973,2095,2418,2176
ENSG00000003987,69,55,20,29,19,38,40,60,39,32,39,40
ENSG00000003989,1803,1612,1242,1474,1350,2186,2054,2880,1723,1879,2218,1975
ENSG00000004059,2263,1999,2772,3129,1991,2543,2151,2818,2053,2294,2406,1978
ENSG00000004139,154,119,120,139,93,164,126,181,101,113,138,136
ENSG00000004142,4666,4220,5170,6370,4633,5456,5222,7001,4828,5259,5896,4863
ENSG00000004399,3667,3090,4359,4471,3297,4347,3944,5536,3864,4113,4215,3614
ENSG00000004455,7642,6893,7821,9584,7093,8997,8768,11650,7822,8394,9626,8222
ENSG00000004468,26,17,20,15,5,10,4,9,5,5,6,3
ENSG00000004478,7381,6650,8761,11109,10042,11870,11192,15241,10001,11125,12853,10624
ENSG00000004487,5535,4948,5327,6338,4239,5724,5355,7181,4728,5085,5971,4903
ENSG00000004534,2051,1914,1264,1459,1292,2034,1792,2481,1659,1768,2082,1817
ENSG00000004660,1801,1552,1261,1350,1362,1734,1520,2177,1570,1699,1923,1682
ENSG00000004700,2926,2508,918,1081,981,2039,1747,2414,1526,1435,1878,1768
ENSG00000004766,731,692,320,406,271,567,483,655,447,439,554,472
ENSG00000004776,2,3,2,6,3,6,7,8,2,8,3,4
ENSG00000004777,378,406,154,134,121,183,115,151,124,135,121,130
ENSG00000004779,2151,1987,2326,2807,1991,2608,2632,3388,2140,2366,2809,2320
ENSG00000004799,8969,7939,4408,5285,7359,11263,10041,12328,8006,7577,9840,7854
ENSG00000004809,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000004838,60,49,56,45,40,53,53,68,67,46,47,50
ENSG00000004846,4,8,3,3,1,2,1,3,2,0,3,1
ENSG00000004848,1,0,1,0,0,0,0,0,0,0,0,1
ENSG00000004864,2749,2473,2572,3294,2301,3088,2768,3807,2540,2638,3127,2479
ENSG00000004866,933,855,856,1146,840,1253,1179,1556,998,1043,1204,1074
ENSG00000004897,3668,3373,2367,2875,2104,3916,3511,4679,3065,3027,3891,3297
ENSG00000004939,4,4,2,2,3,4,2,3,3,2,3,3
ENSG00000004948,0,0,1,1,1,2,1,2,0,1,1,3
ENSG00000004961,1864,1590,1858,2282,1769,2388,2371,3067,2098,2171,2438,2096
ENSG00000004975,1853,1616,1903,2103,1361,1892,1598,2142,1551,1729,1740,1484
ENSG00000005001,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005007,4129,3588,4073,4586,4606,6200,5657,7536,5323,5791,6091,5220
ENSG00000005020,414,385,270,329,236,387,369,504,316,349,368,305
ENSG00000005022,13178,12022,14224,17301,12021,15023,13932,18692,12224,13673,15444,12945
ENSG00000005059,327,294,319,369,234,297,278,344,250,273,315,264
ENSG00000005073,462,438,414,542,554,780,636,887,582,678,765,676
ENSG00000005075,941,865,1071,1154,754,941,842,1185,798,864,1042,838
ENSG00000005100,2350,2063,1979,2329,2675,3993,3364,5063,3315,3555,4042,3457
ENSG00000005102,171,180,298,362,132,212,126,185,119,137,168,151
ENSG00000005108,1,1,0,3,2,4,2,2,0,5,4,0
ENSG00000005156,1357,1122,1133,1434,1217,1604,1396,1991,1353,1538,1661,1388
ENSG00000005175,1889,1695,548,703,819,1907,1714,2196,1491,1341,1830,1696
ENSG00000005187,2,5,2,3,1,3,3,2,3,0,1,0
ENSG00000005189,417,363,322,338,210,308,271,375,263,290,311,290
ENSG00000005194,2230,1911,2297,2986,1916,2354,2276,2860,1969,2064,2505,2120
ENSG00000005206,1432,1262,941,964,645,970,778,1098,749,860,897,817
ENSG00000005238,304,216,277,316,121,142,163,238,131,125,175,129
ENSG00000005243,422,360,422,571,170,247,229,278,189,208,243,221
ENSG00000005249,7,8,2,11,7,12,15,15,8,12,11,5
ENSG00000005302,1457,1244,872,996,885,1244,1152,1486,970,1002,1227,1070
ENSG00000005339,3606,3031,2789,3376,2967,3896,3520,4954,3533,3833,3805,3289
ENSG00000005379,221,208,108,100,39,62,63,62,49,63,57,41
ENSG00000005381,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000005421,18,19,6,11,5,8,4,7,3,6,8,3
ENSG00000005436,406,388,221,316,253,370,328,457,287,333,443,322
ENSG00000005448,713,663,898,997,565,710,639,815,568,674,694,553
ENSG00000005469,324,320,189,231,132,270,173,277,199,190,217,213
ENSG00000005471,2,1,5,3,0,1,1,0,1,0,1,2
ENSG00000005483,1790,1609,712,802,854,1483,1224,1601,1235,1199,1365,1268
ENSG00000005486,2170,1877,2416,2680,1562,1815,1687,2296,1535,1722,1652,1487
ENSG00000005513,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000005700,2029,1877,846,980,1048,1753,1623,2140,1445,1316,1861,1576
ENSG00000005801,703,640,194,257,343,617,575,801,554,513,665,592
ENSG00000005810,5442,4664,2773,3601,3715,6181,5252,7364,5165,4952,6210,5304
ENSG00000005812,3064,2698,1099,1531,1349,2520,2427,3187,1976,1957,2582,2184
ENSG00000005844,3,4,1,1,0,1,1,2,0,0,0,1
ENSG00000005882,643,513,596,716,307,362,313,412,344,336,371,303
