"","ID","Sample","Assay","SampleName","Type","rConc","AssayName","Value","Quality","Call","Threshold","Plate"
"1","S138-A01","S138","A01","CoV 50","Unknown",50,"N1",15.7139246858581,0.992715328454139,"Pass",0.033418851518901,"Plate1"
"2","S138-A02","S138","A02","CoV 50","Unknown",50,"N1",15.6080004213819,0.978794780683309,"Pass",0.033418851518901,"Plate1"
"3","S138-A03","S138","A03","CoV 50","Unknown",50,"N1",15.6782719620645,0.988188452734708,"Pass",0.033418851518901,"Plate1"
"4","S138-A04","S138","A04","CoV 50","Unknown",50,"N1",15.704816912006,0.992311246038484,"Pass",0.033418851518901,"Plate1"
"5","S138-A05","S138","A05","CoV 50","Unknown",50,"N1",15.5003960013849,0.972549122710824,"Pass",0.033418851518901,"Plate1"
"6","S138-A06","S138","A06","CoV 50","Unknown",50,"N1",15.6972760458339,0.992417023623526,"Pass",0.033418851518901,"Plate1"
"7","S138-A07","S138","A07","CoV 50","Unknown",50,"N1",15.709387104346,0.990295760110586,"Pass",0.033418851518901,"Plate1"
"8","S138-A08","S138","A08","CoV 50","Unknown",50,"N1",15.5086122417193,0.969992854469939,"Pass",0.033418851518901,"Plate1"
"9","S138-A09","S138","A09","CoV 50","Unknown",50,"N1",15.614250355466,0.985261289006316,"Pass",0.033418851518901,"Plate1"
"10","S138-A10","S138","A10","CoV 50","Unknown",50,"N2",16.0389923751288,0.844693512883874,"Pass",0.033418851518901,"Plate1"
"11","S138-A11","S138","A11","CoV 50","Unknown",50,"N2",16.0688339498184,0.845962182870319,"Pass",0.033418851518901,"Plate1"
"12","S138-A12","S138","A12","CoV 50","Unknown",50,"N2",15.9642953549103,0.969651580290526,"Pass",0.033418851518901,"Plate1"
"13","S138-A13","S138","A13","CoV 50","Unknown",50,"N2",15.8631287608153,0.959678168381031,"Pass",0.033418851518901,"Plate1"
"14","S138-A14","S138","A14","CoV 50","Unknown",50,"N2",16.0711769466151,0.844325919624577,"Pass",0.033418851518901,"Plate1"
"15","S138-A15","S138","A15","CoV 50","Unknown",50,"N2",15.9865359411387,0.970354418603357,"Pass",0.033418851518901,"Plate1"
"16","S138-A16","S138","A16","CoV 50","Unknown",50,"N2",16.065293429794,0.859612089523811,"Pass",0.033418851518901,"Plate1"
"17","S138-A17","S138","A17","CoV 50","Unknown",50,"N2",15.9922031587598,0.969885199526115,"Pass",0.033418851518901,"Plate1"
"18","S138-A18","S138","A18","CoV 50","Unknown",50,"N2",16.1735090785718,0.872828111412946,"Pass",0.033418851518901,"Plate1"
"19","S138-A19","S138","A19","CoV 50","Unknown",50,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"20","S138-A20","S138","A20","CoV 50","Unknown",50,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"21","S138-A21","S138","A21","CoV 50","Unknown",50,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"22","S138-A22","S138","A22","CoV 50","Unknown",50,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"23","S138-A23","S138","A23","CoV 50","Unknown",50,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"24","S138-A24","S138","A24","CoV 50","Unknown",50,"RP",999,0,"Flag",0.033418851518901,"Plate1"
"25","S144-A01","S144","A01","CoV 50","Unknown",50,"N1",19.1826280755338,0.91701816720523,"Pass",0.033418851518901,"Plate2"
"26","S144-A02","S144","A02","CoV 50","Unknown",50,"N1",18.6171320553918,0.966081908178744,"Pass",0.033418851518901,"Plate2"
"27","S144-A03","S144","A03","CoV 50","Unknown",50,"N1",19.2780144622715,0.938281852204807,"Pass",0.033418851518901,"Plate2"
"28","S144-A04","S144","A04","CoV 50","Unknown",50,"N1",19.5018233755072,0.972524911771802,"Pass",0.033418851518901,"Plate2"
"29","S144-A05","S144","A05","CoV 50","Unknown",50,"N1",18.3422614248487,0.935316194041472,"Pass",0.033418851518901,"Plate2"
"30","S144-A06","S144","A06","CoV 50","Unknown",50,"N1",19.3155461287836,0.945143373942338,"Pass",0.033418851518901,"Plate2"
"31","S144-A07","S144","A07","CoV 50","Unknown",50,"N1",19.3781367246087,0.954295882867034,"Pass",0.033418851518901,"Plate2"
"32","S144-A08","S144","A08","CoV 50","Unknown",50,"N1",18.697284247804,0.988888494631319,"Pass",0.033418851518901,"Plate2"
"33","S144-A09","S144","A09","CoV 50","Unknown",50,"N1",19.4434491153055,0.968697734455365,"Pass",0.033418851518901,"Plate2"
"34","S144-A10","S144","A10","CoV 50","Unknown",50,"N2",19.9991153585046,0.983661978675269,"Pass",0.033418851518901,"Plate2"
"35","S144-A11","S144","A11","CoV 50","Unknown",50,"N2",19.6600993805428,0.930383373941196,"Pass",0.033418851518901,"Plate2"
"36","S144-A12","S144","A12","CoV 50","Unknown",50,"N2",20.03777843223,0.827199442631207,"Pass",0.033418851518901,"Plate2"
"37","S144-A13","S144","A13","CoV 50","Unknown",50,"N2",20.2768301957267,0.875953455402288,"Pass",0.033418851518901,"Plate2"
"38","S144-A14","S144","A14","CoV 50","Unknown",50,"N2",19.5183323369731,0.906174923950969,"Pass",0.033418851518901,"Plate2"
"39","S144-A15","S144","A15","CoV 50","Unknown",50,"N2",19.7586692630004,0.954077173593192,"Pass",0.033418851518901,"Plate2"
"40","S144-A16","S144","A16","CoV 50","Unknown",50,"N2",20.0643237131628,0.847111282917059,"Pass",0.033418851518901,"Plate2"
"41","S144-A17","S144","A17","CoV 50","Unknown",50,"N2",19.1933720846054,0.853014547418979,"Pass",0.033418851518901,"Plate2"
"42","S144-A18","S144","A18","CoV 50","Unknown",50,"N2",19.8424314015377,0.968507727694977,"Pass",0.033418851518901,"Plate2"
"43","S144-A19","S144","A19","CoV 50","Unknown",50,"RP",12.6146394419243,0.937326717030564,"Pass",0.033418851518901,"Plate2"
"44","S144-A20","S144","A20","CoV 50","Unknown",50,"RP",13.0460546176062,0.835824507308886,"Pass",0.033418851518901,"Plate2"
"45","S144-A21","S144","A21","CoV 50","Unknown",50,"RP",12.6929980723846,0.948639551332872,"Pass",0.033418851518901,"Plate2"
