Fabp7	Sox11	Cd24a
0.0	2.0	5.0
0.0	4.0	5.0
0.0	8.0	3.0
0.0	6.0	2.0
0.0	5.0	4.0
1.0	3.0	2.0
1.0	4.0	2.0
0.0	26.0	14.0
1.0	7.0	1.0
0.0	2.0	3.0
1.0	8.0	5.0
1.0	4.0	5.0
0.0	1.0	2.0
0.0	13.0	17.0
0.0	2.0	3.0
0.0	12.0	4.0
1.0	7.0	5.0
0.0	11.0	3.0
0.0	8.0	4.0
0.0	15.0	3.0
8.0	10.0	3.0
2.0	6.0	5.0
1.0	4.0	0.0
2.0	16.0	4.0
1.0	3.0	2.0
1.0	8.0	3.0
0.0	4.0	4.0
0.0	2.0	2.0
1.0	1.0	2.0
0.0	13.0	3.0
2.0	22.0	4.0
0.0	4.0	6.0
0.0	4.0	1.0
1.0	2.0	6.0
0.0	11.0	10.0
1.0	7.0	5.0
1.0	2.0	2.0
1.0	5.0	3.0
0.0	7.0	2.0
0.0	8.0	6.0
6.0	13.0	3.0
0.0	5.0	0.0
1.0	11.0	8.0
0.0	2.0	5.0
1.0	7.0	0.0
0.0	10.0	5.0
0.0	3.0	1.0
2.0	18.0	9.0
0.0	2.0	4.0
1.0	5.0	5.0
0.0	1.0	7.0
1.0	10.0	8.0
0.0	6.0	5.0
0.0	7.0	2.0
0.0	1.0	6.0
0.0	8.0	3.0
1.0	20.0	23.0
0.0	18.0	13.0
411.0	4.0	4.0
0.0	7.0	4.0
0.0	14.0	8.0
0.0	5.0	5.0
1.0	4.0	3.0
2.0	6.0	1.0
0.0	11.0	2.0
0.0	6.0	1.0
1.0	4.0	1.0
1.0	7.0	6.0
3.0	3.0	3.0
1.0	9.0	6.0
0.0	14.0	7.0
0.0	30.0	20.0
1.0	6.0	1.0
0.0	6.0	8.0
0.0	8.0	2.0
1.0	5.0	2.0
0.0	1.0	1.0
2.0	5.0	1.0
0.0	25.0	11.0
1.0	8.0	4.0
0.0	0.0	1.0
0.0	3.0	2.0
2.0	4.0	0.0
0.0	12.0	10.0
1.0	24.0	8.0
1.0	4.0	3.0
216.0	3.0	1.0
1.0	2.0	4.0
2.0	7.0	3.0
1.0	13.0	11.0
0.0	11.0	10.0
1.0	2.0	1.0
7.0	4.0	3.0
1.0	4.0	0.0
1.0	2.0	2.0
1.0	4.0	0.0
0.0	1.0	2.0
0.0	7.0	1.0
0.0	4.0	5.0
0.0	6.0	2.0
1.0	5.0	1.0
0.0	5.0	2.0
0.0	1.0	0.0
0.0	7.0	7.0
0.0	2.0	2.0
1.0	4.0	2.0
0.0	3.0	0.0
0.0	1.0	3.0
0.0	13.0	2.0
3.0	23.0	5.0
4.0	1.0	5.0
0.0	15.0	3.0
0.0	7.0	2.0
0.0	0.0	3.0
1.0	13.0	3.0
0.0	7.0	4.0
1.0	11.0	11.0
1.0	4.0	2.0
0.0	2.0	4.0
1.0	10.0	3.0
0.0	15.0	5.0
0.0	8.0	5.0
1.0	6.0	3.0
0.0	6.0	7.0
2.0	17.0	5.0
1.0	2.0	1.0
25.0	22.0	5.0
1.0	5.0	3.0
0.0	8.0	5.0
2.0	5.0	10.0
3.0	18.0	6.0
0.0	8.0	4.0
2.0	1.0	4.0
1.0	5.0	2.0
0.0	3.0	9.0
4.0	21.0	9.0
0.0	7.0	1.0
0.0	5.0	7.0
0.0	4.0	2.0
0.0	41.0	17.0
0.0	7.0	2.0
1.0	11.0	6.0
0.0	5.0	1.0
1.0	0.0	2.0
1.0	24.0	7.0
0.0	3.0	2.0
0.0	35.0	21.0
0.0	9.0	10.0
2.0	8.0	3.0
1.0	2.0	4.0
1.0	1.0	3.0
136.0	3.0	2.0
0.0	5.0	1.0
1.0	1.0	2.0
0.0	6.0	2.0
0.0	2.0	1.0
1.0	2.0	7.0
0.0	6.0	0.0
0.0	3.0	1.0
0.0	3.0	4.0
0.0	0.0	1.0
1.0	8.0	7.0
1.0	6.0	5.0
1.0	7.0	1.0
1.0	9.0	5.0
