"" "KCL.1.fastq.subread.BAM" "KCL.2.fastq.subread.BAM" "NO3.1.fastq.subread.BAM" "NO3.2.fastq.subread.BAM"
"AT1G01010" 40.6759323178367 34.8586864539811 17.8337544360413 32.2502071954868
"AT1G01040" 56.2539489501997 46.9525164482194 71.3350177441652 64.5004143909736
"AT1G01050" 25.0979156854737 22.0534546953758 39.0113378288403 35.0545730385726
"AT1G01060" 102.122553478824 85.3682117240353 95.8564300937219 58.891682704802
"AT1G01090" 119.431460848116 115.958487591815 144.899254792836 140.218292154291
"AT1G01100" 715.723319720234 672.274667326778 920.667572760632 926.84291113986
"AT1G01110" 8.65445368464611 12.0938299942383 4.45843860901032 9.81528045080034
"AT1G01120" 119.431460848116 91.7708276033379 84.7103335711961 86.9353411356601
"AT1G01160" 29.4251425277968 17.785044109174 26.7506316540619 25.2392925877723
"AT1G01180" 24.2324703170091 14.9394370517062 15.6045351315361 12.6196462938861
"AT1G01190" 15.578016632363 28.4560705746784 18.9483640882939 11.2174633723432
"AT1G01210" 20.7706888431507 11.3824282298714 18.9483640882939 19.6305609016007
"AT1G01220" 19.0397981062215 22.0534546953758 14.4899254792835 15.424012136972
"AT1G01230" 20.7706888431507 12.0938299942383 11.1460965225258 8.41309752925743
"AT1G01240" 11.2507897900399 11.3824282298714 3.34382895675774 4.20654876462871
"AT1G01260" 30.2905878962614 20.6306511666419 24.5214123495568 28.0436584308581
"AT1G01270" 6.92356294771689 8.53682117240353 6.68765791351548 8.41309752925743
"AT1G01290" 10.3853444215753 5.69121411493569 20.0629737405465 12.6196462938861
"AT1G01300" 27.6942517908676 36.992891747082 23.4068026973042 36.4567559601155
"AT1G01320" 15.578016632363 15.6508388160731 17.8337544360413 15.424012136972
"AT1G01340" 47.5994952655536 46.2411146838524 43.4697764378506 26.6414755093152
"AT1G01350" 18.1743527377568 13.5166335229723 15.6045351315361 15.424012136972
"AT1G01360" 39.8104869493721 31.3016776321463 24.5214123495568 19.6305609016007
"AT1G01380" 9.51989905311073 18.496445873541 18.9483640882939 11.2174633723432
"AT1G01420" 14.7125712638984 12.8052317586053 12.2607061747784 14.0218292154291
"AT1G01430" 15.578016632363 14.9394370517062 22.2921930450516 11.2174633723432
"AT1G01440" 27.6942517908676 25.6104635172106 20.0629737405465 28.0436584308581
"AT1G01470" 14.7125712638984 15.6508388160731 10.0314868702732 16.8261950585149
"AT1G01490" 89.140872951855 68.2945693792282 195.056689144202 183.685962722121
"AT1G01500" 13.8471258954338 17.0736423448071 23.4068026973042 35.0545730385726
"AT1G01510" 49.3303860024828 61.1805517355586 42.3551667855981 60.2938656263449
"AT1G01540" 54.5230582132705 51.9323287987881 79.1372853099332 63.0982314694307
"AT1G01550" 144.52937653359 155.085584631997 179.452154012666 169.664133506692
"AT1G01600" 25.9633610539383 14.2280352873392 11.1460965225258 18.2283779800578
"AT1G01610" 57.984839687129 59.7577482068247 33.4382895675774 40.6633047247442
"AT1G01620" 178.28174590371 234.05118047673 150.472303054098 225.751450368408
"AT1G01630" 39.8104869493721 26.3218652815775 33.4382895675774 47.6742193324588
"AT1G01640" 17.3089073692922 8.53682117240353 10.0314868702732 5.60873168617162
"AT1G01650" 23.3670249485445 22.7648564597427 30.0944606108197 29.445841352401
"AT1G01710" 14.7125712638984 27.0332670459445 17.8337544360413 8.41309752925743
"AT1G01720" 65.7738480033105 43.3955076263846 60.1889212216394 78.5222436064027
"AT1G01730" 25.0979156854737 22.7648564597427 27.8652413063145 25.2392925877723
"AT1G01750" 35.4832601070491 28.4560705746784 27.8652413063145 37.8589388816584
"AT1G01770" 9.51989905311073 8.53682117240353 10.0314868702732 11.2174633723432
"AT1G01780" 12.1162351585046 13.5166335229723 13.375315827031 8.41309752925743
"AT1G01790" 19.0397981062215 15.6508388160731 8.91687721802065 7.01091460771453
"AT1G01800" 90.0063183203196 76.8313905516318 71.3350177441652 91.1418899002888
"AT1G01820" 45.8686045286244 31.3016776321463 40.1259474810929 47.6742193324588
"AT1G01830" 25.0979156854737 24.8990617528436 36.7821185243352 28.0436584308581
"AT1G01910" 55.3885035817351 51.2209270344212 46.8136053946084 56.0873168617162
"AT1G01920" 13.8471258954338 13.5166335229723 25.6360220018094 19.6305609016007
"AT1G01930" 13.8471258954338 14.2280352873392 16.7191447837887 14.0218292154291
"AT1G01940" 16.4434620008276 11.3824282298714 6.68765791351548 16.8261950585149
"AT1G01950" 30.2905878962614 24.8990617528436 33.4382895675774 29.445841352401
"AT1G01960" 92.6026544257134 118.092692884915 75.7934563531755 98.1528045080034
"AT1G01970" 6.92356294771689 9.95962470113745 1.11460965225258 1.40218292154291
"AT1G01990" 18.1743527377568 24.8990617528436 8.91687721802065 12.6196462938861
"AT1G02000" 19.0397981062215 21.3420529310088 16.7191447837887 32.2502071954868
"AT1G02080" 92.6026544257134 78.2541940803657 83.5957239189436 68.7069631556024
"AT1G02090" 35.4832601070491 56.9121411493568 78.0226756576807 63.0982314694307
"AT1G02100" 51.9267221078767 33.4358829252471 25.6360220018094 26.6414755093152
"AT1G02110" 19.0397981062215 22.0534546953758 16.7191447837887 25.2392925877723
"AT1G02120" 95.1989905311072 99.5962470113745 125.950890704542 81.3266094494885
"AT1G02130" 18.1743527377568 19.2078476379079 14.4899254792835 15.424012136972
"AT1G02140" 104.718889584218 118.804094649282 110.346355573005 112.174633723432
"AT1G02145" 10.3853444215753 11.3824282298714 12.2607061747784 11.2174633723432
"AT1G02150" 20.7706888431507 17.785044109174 17.8337544360413 29.445841352401
"AT1G02160" 18.1743527377568 9.24822293677049 8.91687721802065 11.2174633723432
"AT1G02170" 45.0031591601598 44.1069093907516 43.4697764378506 49.0764022540017
"AT1G02220" 44.1377137916952 31.3016776321463 37.8967281765877 32.2502071954868
"AT1G02260" 13.8471258954338 13.5166335229723 14.4899254792835 16.8261950585149
"AT1G02270" 6.05811757925228 7.11401764366961 13.375315827031 19.6305609016007
"AT1G02280" 10.3853444215753 8.53682117240353 11.1460965225258 7.01091460771453
"AT1G02300" 9.51989905311073 7.82541940803657 5.5730482612629 9.81528045080034
"AT1G02305" 67.5047387402397 66.8717658504943 49.0428246991136 49.0764022540017
"AT1G02330" 25.9633610539383 21.3420529310088 32.3236799153248 29.445841352401
"AT1G02340" 8.65445368464611 9.24822293677049 11.1460965225258 1.40218292154291
"AT1G02360" 40.6759323178367 41.9727040976507 30.0944606108197 25.2392925877723
"AT1G02370" 6.92356294771689 7.82541940803657 17.8337544360413 8.41309752925743
"AT1G02400" 19.9052434746861 22.0534546953758 11.1460965225258 18.2283779800578
