"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"1" 81.1129329557478 0.0376883871984295 0.1205213367833 0.3127113273411 0.75449998891346 0.83664861562685
"503538" 50.6691667155479 0.0330775635528153 0.108786313107275 0.304059974164188 0.761082199971247 0.84132409325895
"144571" 97.2793325562206 -0.465951824722198 0.325407065627561 -1.43190444812128 0.15217116907094 0.274641967114527
"8086" 125.240478097534 0.184768513456087 0.1357129560524 1.36146554338368 0.173366615343328 0.301229572692292
"65985" 166.579769736303 -0.155675131398736 0.0557534325502816 -2.7922071212089 0.00523498349632474 0.0220711326936843
"195827" 198.556808706791 0.146864295279671 0.0857094508941912 1.71351343110313 0.0866181245668503 0.183353578005459
"79719" 880.589035183228 0.0489628482955994 0.0557738690894441 0.877881507863083 0.380008025510861 0.526961610011053
"22848" 1071.97887092201 -0.0787128228880173 0.170283357264137 -0.462246129936943 0.643904826008126 0.752898628788415
"28971" 62.4760998150294 0.0233678312660919 0.10076395958838 0.231906639651214 0.816610527406953 0.881613223667055
"14" 1169.8733267879 0.0789410424734164 0.0567958514004471 1.38990860295115 0.164556632892489 0.290558717865281
"25980" 275.607993586356 0.0586757575551337 0.0875166883014502 0.670452215388061 0.502569558190006 0.63742326661929
"16" 996.867323057647 0.297325344937432 0.0801397273831654 3.71008680271465 0.000207188196854138 0.00168016678386402
"57505" 519.514169357302 0.223130805511062 0.0843221421843748 2.64617097871132 0.00814086572209971 0.0310365522265163
"132949" 496.383994904036 0.184209755811784 0.0487363570784293 3.77971943030833 0.000157005175959304 0.00136263689503141
"60496" 1014.92484492826 0.081500421447362 0.0589777643426755 1.38188387362099 0.167007360262558 0.293355663277079
"10157" 94.602739064096 0.264237255369899 0.166444538461604 1.58753935582485 0.112390540805682 0.22201480846796
"284837" 598.069234517664 0.260809908440839 0.168923177795986 1.54395573090525 0.122599057451215 0.235893411997075
"9625" 1591.01464363196 -0.660831100874543 0.179617038118389 -3.67911144620354 0.000234047981312416 0.00185357429757595
"103021294" 79.7779021851778 0.312473536904698 0.172028232815005 1.81640845686489 0.0693077388937113 0.155852324462028
"18" 847.142528266244 -0.536794653601112 0.133192472246679 -4.03021765829934 5.5725228102257e-05 0.000589430571706618
"19" 3228.63376486124 -0.251317412268907 0.170023559727357 -1.47813286977351 0.139372217654426 0.258367118571189
"10349" 26.5574714587204 -0.145722093819117 0.170926762367148 -0.852541122297209 0.393913825258208 0.540421029101268
"79963" 74.169985095217 0.0885580202809144 0.104009248563659 0.851443708169015 0.39452292071235 0.540934516295789
"154664" 579.72711037941 -1.02634157503191 0.256831670777449 -3.99616438239527 6.43770403128818e-05 0.000661181080258291
"20" 875.616918496456 -0.511682718199398 0.118693535147987 -4.31095693258636 1.62549565421766e-05 0.000212859271120008
"21" 55.1959545460385 0.014308805767709 0.164413642244543 0.0870293095656053 0.930648214824131 0.957446615848564
"23461" 623.478091207724 -0.13005704288673 0.0968759775902341 -1.34251076605229 0.179430441966478 0.308703030556642
"23460" 33.7981372002532 -0.476451069607291 0.258838078082454 -1.84073020916001 0.065661104660967 0.149553770672254
"10347" 3534.34351723412 -0.0391165543915568 0.13023745738996 -0.300347958071948 0.763911755542042 0.843553619417702
"5243" 595.488509230811 0.203651545171529 0.146990487249901 1.3854743186564 0.165907479937845 0.29221487133849
"23456" 2708.99602071014 0.338015013865566 0.13989424396236 2.41621816803638 0.0156826616007954 0.0514169385395629
"5244" 139.711424067537 -0.326071967369901 0.155111589712372 -2.10217668437636 0.0355378014217219 0.0956976077717416
"340273" 40.8581830243858 0.394069245764547 0.186909234545709 2.10834551177928 0.0350011139184828 0.0947439749149473
"10058" 195.266138217233 0.0631746445438999 0.114008041041481 0.554124463211454 0.579493669168476 0.702047652423994
"22" 598.675628089767 0.130590692474751 0.0564390566331563 2.31383549380649 0.0206767475975477 0.0632862119311614
"11194" 221.491186905409 0.265437866268386 0.0786968374564253 3.3729165598981 0.000743764879612239 0.00463587637132208
"23457" 21.7728199207363 0.12763813621048 0.179047031326552 0.712874909261628 0.475923166528621 0.613725666957978
"4363" 102.668659840174 -0.232292691193615 0.181838821583969 -1.27746478540804 0.201438205149972 0.336018090227669
"89845" 397.647282487232 0.0725153535203576 0.131357451005533 0.552045985707374 0.580916847377727 0.703169969188464
"150000" 1054.44688387846 0.326083850125913 0.235035351696908 1.38738214388454 0.165325266905749 0.291651303616872
"1244" 98.026284525312 -0.233870851815271 0.11455692622789 -2.04152520075503 0.0411986516106787 0.106714857025165
"8714" 863.686688124723 -0.259854351618258 0.237748014652854 -1.09298221479444 0.274401608622595 0.417923608163339
"10257" 4629.25422228187 0.184472296997168 0.219126139562983 0.841854364637065 0.399869477165564 0.546016166852616
"10057" 1457.3384622564 -0.46424876641959 0.117676691978976 -3.94512081035158 7.97597557648696e-05 0.00078400214473423
"215" 242.994794884308 -0.284204001276956 0.0971906239497086 -2.92419154983527 0.00345352158162728 0.0157272100105109
"225" 1021.74028750841 0.334293606815155 0.131473580789089 2.5426675443748 0.0110009845304987 0.0393307299976727
"5825" 945.554282639889 0.0455481070494936 0.0634485156155142 0.717875061498781 0.472834325918906 0.611109027521986
"5826" 379.956432361495 0.163826689549654 0.0731918020205765 2.23832020836974 0.0252001812117336 0.0736977500876581
"6059" 1711.09284878723 0.182903429824711 0.0781894876714081 2.33923300013633 0.0193233780668223 0.0602694303887067
"10061" 316.431784291429 0.00120980061321026 0.0971254179295194 0.0124560659711979 0.990061754266304 0.994661344297738
"55324" 765.970159014093 0.126228796308052 0.0783854166285734 1.61036072444677 0.107319129575994 0.214280436970791
"9619" 1425.79856700622 -0.261045627568673 0.165703649896211 -1.57537644905335 0.115169577188066 0.225956441131324
"9429" 684.944747987895 0.379639692521608 0.216210440988094 1.75588047823515 0.0791088189514897 0.171723214179485
"55347" 772.177003484012 0.192686245634753 0.0719823430114693 2.67685431695453 0.00743169411184693 0.0288845425165893
"83451" 122.742243640349 -0.189134137985215 0.0842690220663436 -2.24440883906678 0.0248061083228423 0.0728325677138703
"26090" 131.344204441892 -0.0432415276407706 0.136219088231805 -0.317441029756315 0.750908978572783 0.834090953550941
"84945" 1733.16022393278 -0.27441674726547 0.0711358505713948 -3.85764343943641 0.000114485494490045 0.00105102544175118
"25864" 79.3929096021805 0.352281680315758 0.104278045822401 3.37829192652631 0.00072937606388667 0.00457549770939382
"84836" 215.251959281463 0.12983751584204 0.106967659714917 1.21380159375342 0.224823497589575 0.362574075435325
"116236" 427.863851583053 0.181362044821707 0.105222091363446 1.72361186203063 0.0847779356828584 0.180524132738253
"81926" 4301.39206136833 0.155159468001355 0.0748731146514037 2.07229883147978 0.0382375813376537 0.101165529554336
"728917" 17.1472619622336 0.210482263075808 0.163525565831254 1.28715202424684 0.198041305391616 0.331737829472562
"644988" 19.9661453744445 0.162276519924335 0.300545306838667 0.539940289307013 0.589238211738897 0.709711375939864
"51104" 781.050866222792 -0.0796989457523608 0.0501590448382207 -1.58892470957962 0.112077391817189 0.221564879455768
"58489" 38.4244573582853 -0.148816359069566 0.150919174350096 -0.986066612876825 0.324100425914574 0.470863453530831
"80167" 1079.46419092431 -0.00661657257183381 0.0434414798889783 -0.152310017723695 0.878942424103461 0.923039008897791
"11057" 8841.66709377262 -0.287186455861539 0.0985739161909553 -2.91341225913362 0.00357502286397447 0.0161717332922959
