"Symbol","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gnai3","ENSMUSG00000000001",2485.718894,-0.364872551,0.1130583,-3.227295574,0.001249663,0.004810967
"Cdc45","ENSMUSG00000000028",711.4486084,-0.389548404,0.085913291,-4.534204168,5.78e-06,3.55e-05
"Scml2","ENSMUSG00000000037",55.96768847,0.084551192,0.256268411,0.329932167,0.741451217,0.853776082
"Apoh","ENSMUSG00000000049",1.086346995,1.484150644,1.630224169,0.910396664,0.362613357,0.543731762
"Cav2","ENSMUSG00000000058",774.4448615,0.801126713,0.104719442,7.650219461,2.01e-14,3.48e-13
"Scmh1","ENSMUSG00000000085",302.9400372,0.35222832,0.111031934,3.17231546,0.001512286,0.005686827
"Cox5a","ENSMUSG00000000088",114.0105478,-0.772724092,0.179602394,-4.302415316,1.69e-05,9.52e-05
"Tbx2","ENSMUSG00000000093",1.436680875,-0.178804547,1.325929958,-0.134852182,0.892728748,0.944867628
"Wnt9a","ENSMUSG00000000126",40.50008898,-0.833459598,0.293852229,-2.836322196,0.004563638,0.01500545
"Fer","ENSMUSG00000000127",548.5986795,0.751802062,0.107029393,7.024257952,2.15e-12,3.06e-11
"Xpo6","ENSMUSG00000000131",679.0656032,0.040976404,0.091841115,0.446166232,0.655477173,0.796166301
"Tfe3","ENSMUSG00000000134",981.9042123,0.064288925,0.094500084,0.680305483,0.496311053,0.66983603
"Axin2","ENSMUSG00000000142",48.36755469,-2.887428945,0.360516664,-8.009141417,1.16e-15,2.21e-14
"Brat1","ENSMUSG00000000148",173.2696805,0.050699603,0.223399647,0.22694576,0.820465919,0.901924345
"Gna12","ENSMUSG00000000149",547.1825391,0.701780987,0.225432831,3.113038077,0.001851721,0.006818238
"Pih1d2","ENSMUSG00000000167",26.06765615,-0.74033294,0.367246997,-2.015899236,0.043810513,0.104869261
"Dlat","ENSMUSG00000000168",694.2835162,-0.106207229,0.094907591,-1.119059375,0.263114809,0.43137983
"Sdhd","ENSMUSG00000000171",1376.563962,-0.488797715,0.077025663,-6.345907239,2.21e-10,2.54e-09
"Fgf23","ENSMUSG00000000182",4.834418972,3.348298725,1.317706911,2.541004147,0.011053461,0.03239208
"Ccnd2","ENSMUSG00000000184",1543.874181,0.318302814,0.079455663,4.006043138,6.17e-05,0.000311926
"Gpr107","ENSMUSG00000000194",560.361054,0.0777087,0.094882263,0.819001341,0.412785649,0.595022009
"Drp2","ENSMUSG00000000223",38.35863117,-1.201514374,0.290091067,-4.141852375,3.45e-05,0.000183457
"Tspan32","ENSMUSG00000000244",1.53712246,0.887128415,1.394815397,0.636018513,0.524764355,0.694820566
"Lhx2","ENSMUSG00000000247",1.292224939,-3.91381944,1.630316338,-2.400650322,0.016365967,0.045563863
"Gmpr","ENSMUSG00000000253",97.18949204,0.225997815,0.18617862,1.213876301,0.224794964,0.383744065
"Trim25","ENSMUSG00000000275",592.4355208,-0.700326783,0.101109911,-6.926391084,4.32e-12,5.89e-11
"Dgke","ENSMUSG00000000276",238.5731545,-0.583765657,0.14541671,-4.014433134,5.96e-05,0.00030227
"Scpep1","ENSMUSG00000000278",1860.556524,0.128126902,0.066739124,1.919816947,0.054881025,0.125790795
"Mnt","ENSMUSG00000000282",148.9883147,0.587637569,0.178016533,3.301028053,0.000963313,0.003798016
"Tpd52l1","ENSMUSG00000000296",76.2598819,1.78800598,0.230566536,7.754837328,8.85e-15,1.59e-13
"Pemt","ENSMUSG00000000301",50.69154164,-0.837711378,0.279159229,-3.000837123,0.002692385,0.009463214
"Ckmt1","ENSMUSG00000000308",1.31652702,-0.224485812,1.709970773,-0.131280496,0.89555342,0.946670493
"Bcl6b","ENSMUSG00000000317",34.69730583,0.321008381,0.256021463,1.253833869,0.209902396,0.364593897
"Alox12","ENSMUSG00000000320",11.96406886,-2.435107671,0.806883449,-3.017917487,0.002545182,0.009011629
"Arvcf","ENSMUSG00000000325",155.1492851,0.479536977,0.29135542,1.645883154,0.099787818,0.206734016
"Comt","ENSMUSG00000000326",497.3170848,0.249254704,0.136730922,1.822957833,0.068309778,0.150767014
"Rtca","ENSMUSG00000000339",173.3103498,-0.118675227,0.160411697,-0.739816541,0.459411321,0.637181433
"Dbt","ENSMUSG00000000340",284.3409215,-1.015471535,0.123834025,-8.200262678,2.4e-16,4.89e-15
"Mcts1","ENSMUSG00000000355",163.6020398,1.210866782,0.154882016,7.817994723,5.37e-15,9.78e-14
"Ccm2","ENSMUSG00000000378",483.3695339,0.67370902,0.145877587,4.618317547,3.87e-06,2.44e-05
"Tbrg4","ENSMUSG00000000384",404.6309638,0.125540549,0.160402779,0.782658194,0.433827858,0.615521913
"Ndufa9","ENSMUSG00000000399",828.1729497,-0.17059125,0.085267337,-2.000663509,0.045428664,0.10815992
