Fabp7	Sox11	Cd24a
60.0	12.0	4.0
56.0	12.0	19.0
78.0	0.0	0.0
243.0	4.0	0.0
38.0	0.0	1.0
170.0	25.0	11.0
111.0	4.0	2.0
0.0	3.0	0.0
288.0	0.0	2.0
0.0	0.0	0.0
66.0	2.0	0.0
188.0	1.0	1.0
399.0	14.0	3.0
57.0	0.0	2.0
1.0	1.0	1.0
141.0	0.0	1.0
3.0	2.0	2.0
0.0	26.0	14.0
21.0	8.0	2.0
66.0	0.0	1.0
59.0	2.0	2.0
244.0	0.0	2.0
5.0	15.0	4.0
26.0	0.0	0.0
288.0	3.0	1.0
54.0	19.0	13.0
1.0	12.0	0.0
46.0	1.0	2.0
18.0	4.0	1.0
372.0	4.0	0.0
234.0	0.0	1.0
1.0	5.0	0.0
103.0	1.0	0.0
0.0	5.0	2.0
12.0	9.0	3.0
48.0	7.0	0.0
181.0	1.0	0.0
99.0	8.0	4.0
401.0	5.0	2.0
1.0	5.0	0.0
402.0	0.0	0.0
165.0	1.0	0.0
0.0	11.0	8.0
55.0	43.0	11.0
123.0	0.0	2.0
34.0	2.0	2.0
153.0	0.0	0.0
37.0	7.0	3.0
451.0	1.0	1.0
316.0	7.0	9.0
15.0	1.0	1.0
31.0	1.0	3.0
31.0	0.0	0.0
208.0	1.0	1.0
1.0	14.0	6.0
133.0	2.0	1.0
42.0	1.0	0.0
6.0	3.0	1.0
202.0	1.0	2.0
0.0	28.0	10.0
198.0	1.0	0.0
16.0	0.0	0.0
1.0	12.0	2.0
53.0	1.0	0.0
148.0	0.0	0.0
15.0	5.0	0.0
15.0	11.0	3.0
51.0	0.0	2.0
202.0	1.0	0.0
66.0	2.0	1.0
96.0	8.0	6.0
261.0	0.0	0.0
10.0	16.0	9.0
25.0	5.0	1.0
343.0	0.0	0.0
5.0	0.0	4.0
52.0	5.0	3.0
0.0	10.0	7.0
228.0	32.0	7.0
4.0	71.0	14.0
25.0	2.0	3.0
2.0	49.0	10.0
165.0	4.0	1.0
1.0	15.0	2.0
366.0	6.0	0.0
91.0	3.0	0.0
32.0	0.0	0.0
252.0	1.0	1.0
12.0	2.0	2.0
26.0	1.0	0.0
79.0	4.0	2.0
124.0	2.0	0.0
62.0	6.0	6.0
16.0	1.0	0.0
83.0	0.0	1.0
295.0	29.0	10.0
65.0	1.0	1.0
323.0	1.0	6.0
384.0	1.0	0.0
50.0	34.0	13.0
0.0	25.0	13.0
0.0	1.0	0.0
3.0	1.0	5.0
385.0	1.0	1.0
0.0	9.0	1.0
229.0	3.0	0.0
93.0	2.0	0.0
132.0	0.0	0.0
22.0	3.0	1.0
245.0	1.0	2.0
110.0	1.0	2.0
90.0	4.0	1.0
77.0	6.0	3.0
28.0	1.0	0.0
89.0	0.0	1.0
110.0	0.0	0.0
3.0	8.0	5.0
30.0	3.0	8.0
1.0	1.0	0.0
17.0	1.0	1.0
16.0	3.0	3.0
8.0	3.0	6.0
411.0	4.0	4.0
55.0	0.0	0.0
0.0	13.0	9.0
78.0	4.0	0.0
82.0	5.0	6.0
286.0	9.0	4.0
99.0	2.0	3.0
49.0	4.0	2.0
7.0	13.0	5.0
0.0	1.0	0.0
117.0	40.0	21.0
1.0	5.0	0.0
190.0	3.0	0.0
35.0	3.0	1.0
80.0	0.0	2.0
79.0	3.0	3.0
28.0	1.0	1.0
19.0	2.0	1.0
2.0	27.0	19.0
38.0	1.0	1.0
28.0	3.0	9.0
2.0	12.0	1.0
146.0	16.0	8.0
68.0	3.0	1.0
20.0	8.0	2.0
149.0	0.0	2.0
8.0	9.0	2.0
145.0	0.0	0.0
127.0	2.0	1.0
546.0	5.0	2.0
10.0	24.0	15.0
86.0	3.0	3.0
12.0	1.0	2.0
15.0	11.0	10.0
49.0	0.0	1.0
75.0	0.0	3.0
16.0	0.0	0.0
110.0	25.0	18.0
174.0	0.0	1.0
1.0	2.0	2.0
310.0	0.0	1.0
177.0	2.0	0.0
278.0	2.0	1.0
2.0	1.0	1.0
33.0	4.0	1.0
259.0	3.0	3.0
105.0	20.0	12.0
86.0	2.0	0.0
78.0	3.0	2.0
146.0	2.0	2.0
117.0	0.0	0.0
0.0	1.0	1.0
0.0	33.0	14.0
124.0	0.0	1.0
2.0	6.0	3.0
137.0	1.0	1.0
0.0	1.0	3.0
3.0	2.0	1.0
