"YPD1"	"YPD2"	"YPD3"	"YPD4"	"YPD5"	"YPD6"	"RAPA1"	"RAPA2"	"RAPA3"	"RAPA4"	"RAPA5"	"RAPA6"
"YDL248W"	0	0	0	0	0	0	0	1	0	0	0	1
"YDL247W.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL247W"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL246C"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL245C"	0	0	0	0	0	0	1	0	0	1	0	0
"YDL244W"	0	0	0	0	1	0	5	6	3	2	1	4
"YDL243C"	8	5	2	6	5	4	22	16	12	20	16	18
"YDL242W"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL241W"	3	7	1	1	1	0	0	1	1	4	1	2
"YDL240C.A"	0	0	0	0	0	0	0	0	0	0	0	0
"YDL240W"	0	1	0	3	0	0	7	2	1	2	3	2
"YDL239C"	2	3	1	0	2	0	8	13	3	7	8	10
"YDL238C"	0	0	0	2	0	1	33	35	21	26	31	24
"YDL237W"	36	31	11	27	34	21	91	103	50	84	98	77
"YDL236W"	18	23	8	16	17	16	28	38	19	38	24	27
"YDL235C"	14	17	6	17	14	21	18	28	13	18	28	19
"YDL234C"	2	4	1	5	5	2	6	14	4	14	13	21
"YDL233W"	1	2	3	2	3	1	4	8	4	5	6	2
"YDL232W"	94	110	37	95	101	86	141	201	84	177	171	117
"YDL231C"	6	5	1	4	5	3	13	13	9	18	9	13
"YDL230W"	5	5	1	8	2	5	18	17	8	14	16	15
"YDL229W"	940	1098	355	1046	1017	736	218	257	126	220	238	202
"YDL228C"	1	0	1	0	0	0	0	0	0	0	1	0
"YDL227C"	0	0	0	0	0	0	0	1	0	0	0	0
"YDL226C"	44	44	15	46	57	32	65	57	30	61	65	44
"YDL225W"	6	4	2	7	13	6	5	9	3	7	11	5
"YDL224C"	17	14	6	18	16	5	41	42	18	27	31	16
"YDL223C"	0	0	0	0	0	0	1	0	0	0	1	0
"YDL222C"	0	1	0	0	0	0	1	1	0	0	0	0
"YDL221W"	0	0	0	0	0	0	0	1	0	0	0	0
"YDL220C"	0	1	0	0	0	0	1	1	1	2	1	1
"YDL219W"	37	45	11	51	41	29	42	40	21	41	33	35
"YDL218W"	0	0	0	1	0	0	0	1	0	0	1	1
